unique_number,id_no,name_en,name_fr,name_ja,description_en,date_inscribed,danger,longitude,latitude,area_hectares,criteria_txt,category,category_short,states_name_en,region_en,iso_code,transboundary
1878,1278,Historic Monuments and Sites in Kaesong,Monuments et sites historiques de Kaesong,開城の歴史的建造物群と遺跡群,"Situated in Kaesong city, in the south of the country, the site consists of 12 separate components, which together testify to the history and culture of the Koryo Dynasty from the 10th to 14th centuries. The geomantic layout of the former capital city of Kaesong, its palaces, institutions and tomb complex, defensive walls and gates embody the political, cultural, philosophical and spiritual values of a crucial era in the region&rsquo;s history. The monuments inscribed also include an astronomical and meteorological observatory, two schools (including one dedicated to educating national officials) and commemorative steles. The site testifies to the transition from Buddhism to neo-Confucianism in East Asia and to the assimilation of the cultural spiritual and political values of the states that existed prior to Korea&rsquo;s unification under the Koryo Dynasty. The integration of Buddhist, Confucian, Taoist and geomantic concepts is manifest in the planning of the site and the architectu",2013,false,126.5080556,37.98166667,494.2,(ii)(iii),Cultural,C,Democratic People's Republic of Korea,Asia and the Pacific,kp,false
67,63,Virunga National Park,Parc national des Virunga,ヴィルンガ国立公園,"Virunga National Park (covering an area of 790,000 ha) comprises an outstanding diversity of habitats, ranging from swamps and steppes to the snowfields of Rwenzori at an altitude of over 5,000 m, and from lava plains to the savannahs on the slopes of volcanoes. Mountain gorillas are found in the park, some 20,000 hippopotamuses live in the rivers and birds from Siberia spend the winter there.",1979,true,29.16666667,0.916666667,800000,(vii)(viii)(x),Natural,N,Democratic Republic of the Congo,Africa,cd,false
149,136,Garamba National Park,Parc national de la Garamba,ガランバ国立公園,"The park's immense savannahs, grasslands and woodlands, interspersed with gallery forests along the river banks and the swampy depressions, are home to four large mammals: the elephant, giraffe, hippopotamus and above all the white rhinoceros. Though much larger than the black rhino, it is harmless; only some 30 individuals remain.",1980,true,29.25,4,500000,(vii)(x),Natural,N,Democratic Republic of the Congo,Africa,cd,false
150,137,Kahuzi-Biega National Park,Parc national de Kahuzi-Biega,カフジ＝ビエガ国立公園,"A vast area of primary tropical forest dominated by two spectacular extinct volcanoes, Kahuzi and Biega, the park has a diverse and abundant fauna. One of the last groups of eastern lowland (graueri) gorillas (consisting of only some 250 individuals) lives at between 2,100 and 2,400 m above sea-level.",1980,true,28.180743,-2.334053,600000,(x),Natural,N,Democratic Republic of the Congo,Africa,cd,false
314,280,Salonga National Park,Parc national de la Salonga,サロンガ国立公園,"Salonga National Park is Africa's largest tropical rainforest reserve. Situated at the heart of the central basin of the Congo river, the park is very isolated and accessible only by water. It is the habitat of many endemic endangered species, such as the dwarf chimpanzee, the Congo peacock, the forest elephant and the African slender-snouted or 'false' crocodile.",1984,false,21,-2,3600000,(vii)(ix),Natural,N,Democratic Republic of the Congo,Africa,cd,false
849,718,Okapi Wildlife Reserve,Réserve de faune à okapis,オカピ野生生物保護区,"The Okapi Wildlife Reserve occupies about one-fifth of the Ituri forest in the north-east of the Democratic Republic of the Congo. The Congo river basin, of which the reserve and forest are a part, is one of the largest drainage systems in Africa. The reserve contains threatened species of primates and birds and about 5,000 of the estimated 30,000 okapi surviving in the wild. It also has some dramatic scenery, including waterfalls on the Ituri and Epulu rivers. The reserve is inhabited by traditional nomadic pygmy Mbuti and Efe hunters.",1996,true,28.5,2,1372625,(x),Natural,N,Democratic Republic of the Congo,Africa,cd,false
822,695,Roskilde Cathedral,Cathédrale de Roskilde,ロスキレ大聖堂,"Built in the 12th and 13th centuries, this was Scandinavia's first Gothic cathedral to be built of brick and it encouraged the spread of this style throughout northern Europe. It has been the mausoleum of the Danish royal family since the 15th century. Porches and side chapels were added up to the end of the 19th century. Thus it provides a clear overview of the development of European religious architecture.",1995,false,12.07972222,55.64222222,0.4,(ii)(iv),Cultural,C,Denmark,Europe and North America,dk,false
824,696,Kronborg Castle,Château de Kronborg,クロンボー城,"Located on a strategically important site commanding the Sund, the stretch of water between Denmark and Sweden, the Royal castle of Kronborg at Helsingør (Elsinore) is of immense symbolic value to the Danish people and played a key role in the history of northern Europe in the 16th-18th centuries. Work began on the construction of this outstanding Renaissance castle in 1574, and its defences were reinforced according to the canons of the period's military architecture in the late 17th century. It has remained intact to the present day. It is world-renowned as Elsinore, the setting of Shakespeare's Hamlet.",2000,false,12.62083333,56.03889,0,(iv),Cultural,C,Denmark,Europe and North America,dk,false
2316,697,"Jelling Mounds, Runic Stones and Church","Tumulus, pierres runiques et église de Jelling",,"The Jelling burial mounds and one of the runic stones are striking examples of pagan Nordic culture, while the other runic stone and the church illustrate the Christianization of the Danish people towards the middle of the 10th century.",1994,false,9.42,55.75638889,12.7,(iii),Cultural,C,Denmark,Europe and North America,dk,false
2354,1149,Ilulissat Icefjord,Fjord glacé d’Ilulissat,イルリサット氷河,"Located on the west coast of Greenland, 250 km north of the Arctic Circle, Greenland’s Ilulissat Icefjord is the sea mouth of Sermeq Kujalleq, one of the few glaciers through which the Greenland ice cap reaches the sea. Sermeq Kujalleq is one of the fastest and most active glaciers in the world. It annually calves over 35 km3 of ice, i.e. 10% of the production of all Greenland calf ice and more than any other glacier outside Antarctica. Studied for over 250 years, it has helped to develop our understanding of climate change and icecap glaciology. The combination of a huge ice-sheet and the dramatic sounds of a fast-moving glacial ice-stream calving into a fjord covered by icebergs makes for a dramatic and awe-inspiring natural phenomenon.",2004,false,-49.5,69.13333333,399800,(vii)(viii),Natural,N,Denmark,Europe and North America,dk,false
1973,1416,Stevns Klint,Stevns Klint,ステウンス・クリント,"This geological site comprises a 15 km-long fossil-rich coastal cliff, offering exceptional evidence of the impact of the Chicxulub meteorite that crashed into the planet at the end of the Cretaceous, about 65 million years ago. Researchers think that this caused the most remarkable mass extinction ever, responsible for the disappearance of over 50 per cent of all life on Earth. The site harbours a record of the cloud of ash formed by the impact of the meteorite – the exact site being at the bottom of the ocean off the coast of Mexico’s Yucatán Peninsula. An exceptional fossil record is visible at the site, showing the complete succession of fauna and micro-fauna charting the recovery after the mass extinction.",2014,false,12.42333333,55.26722222,50,(viii),Natural,N,Denmark,Europe and North America,dk,false
2030,1469,The par force hunting landscape in North Zealand,Paysage de chasse à courre de Zélande du Nord,シェラン島北部のパル・フォルス式狩猟の景観,"Located about 30 km northeast of Copenhagen, this cultural landscape encompasses the two hunting forests of Store Dyrehave and Gribskov, as well as the hunting park of Jægersborg Hegn/Jægersborg Dyrehave. This is a designed landscape where Danish kings and their court practiced par force hunting, or hunting with hounds, which reached its peak between the 17th and the late 18th centuries, when the absloute monarchs transformed it into a landscape of power. With hunting lanes laid out in a star system, combined with an orthogonal grid pattern, numbered stone posts, fences and a hunting lodge, the site demonstrates the application of Baroque landscaping principles to forested areas.",2015,false,12.35777778,55.91361111,4543,(ii)(iv),Cultural,C,Denmark,Europe and North America,dk,false
2154,1536,Kujataa Greenland: Norse and Inuit Farming at the Edge of the Ice Cap,Kujataa au Groenland : agriculture nordique et inuite en bordure de la calotte glaciaire,カッシアースック,"Kujataa is a subarctic farming landscape located in the southern region of Greenland. It bears witness to the cultural histories of the Norse farmer-hunters who started arriving from Iceland in the 10th century and of the Inuit hunters and Inuit farming communities that developed from the end of the 18th century. Despite their differences, the two cultures, European Norse and Inuit, created a cultural landscape based on farming, grazing and marine mammal hunting. The landscape represents the earliest introduction of farming to the Arctic, and the Norse expansion of settlement beyond Europe.",2017,false,-45.59805556,61.16444444,34.892,(v),Cultural,C,Denmark,Europe and North America,dk,false
2221,1557,Aasivissuit – Nipisat. Inuit Hunting Ground between Ice and Sea,Aasivissuit-Nipisat. Terres de chasse inuites entre mer et glace,アーシヴィスイト＝ニピサット、氷と海の間のイヌイットの狩場,"Located inside the Arctic Circle in the central part of West Greenland, the property contains the remains of 4,200 years of human history. It is a cultural landscape which bears witness to its creators’ hunting of land and sea animals, seasonal migrations and a rich and well-preserved tangible and intangible cultural heritage linked to climate, navigation and medicine. The features of the property include large winter houses and evidence of caribou hunting, as well as archaeological sites from Paleo-Inuit and Inuit cultures. The cultural landscape includes seven key localities, from Nipisat in the west to Aasivissuit, near the ice cap in the east. It bears testimony to the resilience of the human cultures of the region and their traditions of seasonal migration.",2018,false,-51.43320556,67.06393056,417800,(v),Cultural,C,Denmark,Europe and North America,dk,false
2425,1660,Viking-Age Ring Fortresses,Forteresses circulaires de l’âge des Vikings,フュアカト,"These five archaeological sites comprise a system of monumental ring-shaped Viking-Age fortresses sharing a uniform geometric design. Constructed between about 970 and 980 CE, the fortresses at Aggersborg, Fyrkat, Nonnebakken, Trelleborg and Borgring were positioned strategically near important land and sea routes, and each made use of the natural topography of their surrounding landscape for defensive purposes. They are an emblematic demonstration of the centralized power of the Jelling Dynasty, and a testimony to the socio-political transformations that the Danish realm underwent in the late 10th century.",2023,false,9.254722222,56.99527778,51,(iii)(iv),Cultural,C,Denmark,Europe and North America,dk,false
962,814,Morne Trois Pitons National Park,Parc national de Morne Trois Pitons,モルヌ・トロワ・ピトン国立公園,"Luxuriant natural tropical forest blends with scenic volcanic features of great scientific interest in this national park centred on the 1,342-m-high volcano known as Morne Trois Pitons. With its precipitous slopes and deeply incised valleys, 50 fumaroles, hot springs, three freshwater lakes, a 'boiling lake' and five volcanoes, located on the park's nearly 7,000 ha, together with the richest biodiversity in the Lesser Antilles, Morne Trois Pitons National Park presents a rare combination of natural features of World Heritage value.",1997,false,-61.30661,15.331113,6857,(viii)(x),Natural,N,Dominica,Latin America and the Caribbean,dm,false
2624,526,Colonial City of Santo Domingo,Ville coloniale de Saint-Domingue,サントドミンゴの植民都市,"After Christopher Columbus's arrival on the island in 1492, Santo Domingo became the site of the first cathedral, hospital, customs house and university in the Americas. This colonial town, founded in 1498, was laid out on a grid pattern that became the model for almost all town planners in the New World.",1990,false,-69.885841,18.472394,106,(ii)(iv)(vi),Cultural,C,Dominican Republic,Latin America and the Caribbean,do,false
4,1,Galápagos Islands,Îles Galápagos,ガラパゴス諸島,"Situated in the Pacific Ocean some 1,000 km from the South American continent, these 19 islands and the surrounding marine reserve have been called a unique ‘living museum and showcase of evolution’. Located at the confluence of three ocean currents, the Galápagos are a ‘melting pot’ of marine species. Ongoing seismic and volcanic activity reflects the processes that formed the islands. These processes, together with the extreme isolation of the islands, led to the development of unusual animal life – such as the land iguana, the giant tortoise and the many types of finch – that inspired Charles Darwin’s theory of evolution by natural selection following his visit in 1835.",1978,false,-90.501319,-0.68986,14066514,(vii)(viii)(ix)(x),Natural,N,Ecuador,Latin America and the Caribbean,ec,false
5,2,City of Quito,Ville de Quito,キトの市街,"Quito, the capital of Ecuador, was founded in the 16th century on the ruins of an Inca city and stands at an altitude of 2,850 m. Despite the 1917 earthquake, the city has the best-preserved, least altered historic centre in Latin America. The monasteries of San Francisco and Santo Domingo, and the Church and Jesuit College of La Compañía, with their rich interiors, are pure examples of the 'Baroque school of Quito', which is a fusion of Spanish, Italian, Moorish, Flemish and indigenous art.",1978,false,-78.51208333,-0.22,70.43,(ii)(iv),Cultural,C,Ecuador,Latin America and the Caribbean,ec,false
290,260,Sangay National Park,Parc national Sangay,サンガイ国立公園,"With its outstanding natural beauty and two active volcanoes, the park illustrates the entire spectrum of ecosystems, ranging from tropical rainforests to glaciers, with striking contrasts between the snowcapped peaks and the forests of the plains. Its isolation has encouraged the survival of indigenous species such as the mountain tapir and the Andean condor.",1983,false,-78.33333,-1.83333,271925,(vii)(viii)(ix)(x),Natural,N,Ecuador,Latin America and the Caribbean,ec,false
1014,863,Historic Centre of Santa Ana de los Ríos de Cuenca,Centre historique de Santa Ana de los Ríos de Cuenca,サンタ・アナ・デ・ロス・リオス・デ・クエンカ歴史地区,"Santa Ana de los Ríos de Cuenca is set in a valley surrounded by the Andean mountains in the south of Ecuador. This inland colonial town (entroterra ), now the country's third city, was founded in 1557 on the rigorous planning guidelines issued 30 years earlier by the Spanish king Charles V. Cuenca still observes the formal orthogonal town plan that it has respected for 400 years. One of the region's agricultural and administrative centres, it has been a melting pot for local and immigrant populations. Cuenca's architecture, much of which dates from the 18th century, was 'modernized' in the economic prosperity of the 19th century as the city became a major exporter of quinine, straw hats and other products.",1999,false,-79.004382,-2.897447,224.14,(ii)(iv)(v),Cultural,C,Ecuador,Latin America and the Caribbean,ec,false
92,86,Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,Memphis et sa nécropole – les zones des pyramides de Guizeh à Dahchour,メンフィス,"The capital of the Old Kingdom of Egypt has some extraordinary funerary monuments, including rock tombs, ornate mastabas, temples and pyramids. In ancient times, the site was considered one of the Seven Wonders of the World.",1979,false,31.13041,29.97604,16358.52,(i)(iii)(vi),Cultural,C,Egypt,Arab States,eg,false
93,87,Ancient Thebes with its Necropolis,Thèbes antique et sa nécropole,テーベのネクロポリス,"Thebes, the city of the god Amon, was the capital of Egypt during the period of the Middle and New Kingdoms. With the temples and palaces at Karnak and Luxor, and the necropolises of the Valley of the Kings and the Valley of the Queens, Thebes is a striking testimony to Egyptian civilization at its height.",1979,false,32.6,25.73333,7390.16,(i)(iii)(vi),Cultural,C,Egypt,Arab States,eg,false
94,88,Nubian Monuments from Abu Simbel to Philae,Monuments de Nubie d'Abou Simbel à Philae,クベット・エル＝ハワ,"This outstanding archaeological area contains such magnificent monuments as the Temples of Ramses II at Abu Simbel and the Sanctuary of Isis at Philae, which were saved from the rising waters of the Nile thanks to the International Campaign launched by UNESCO, in 1960 to 1980.",1979,false,31.62580556,22.33722222,374.48,(i)(iii)(vi),Cultural,C,Egypt,Arab States,eg,false
95,89,Historic Cairo,Le Caire historique,シャーフィイー廟,"Tucked away amid the modern urban area of Cairo lies one of the world's oldest Islamic cities, with its famous mosques, madrasas, hammams and fountains. Founded in the 10th century, it became the new centre of the Islamic world, reaching its golden age in the 14th century.",1979,false,31.26111,30.05,523.66,(i)(v)(vi),Cultural,C,Egypt,Arab States,eg,false
96,90,Abu Mena,Abou Mena,アブ・メナ,"The church, baptistry, basilicas, public buildings, streets, monasteries, houses and workshops in this early Christian holy city were built over the tomb of the martyr Menas of Alexandria, who died in A.D. 296.",1979,true,29.66666667,30.83583333,182.72,(iv),Cultural,C,Egypt,Arab States,eg,false
1116,954,Saint Catherine Area,Zone Sainte-Catherine,,"The Orthodox Monastery of St Catherine stands at the foot of Mount Horeb where, the Old Testament records, Moses received the Tablets of the Law. The mountain is known and revered by Muslims as Jebel Musa. The entire area is sacred to three world religions: Christianity, Islam, and Judaism. The Monastery, founded in the 6th century, is the oldest Christian monastery still in use for its initial function. Its walls and buildings of great significance to studies of Byzantine architecture and the Monastery houses outstanding collections of early Christian manuscripts and icons. The rugged mountainous landscape, containing numerous archaeological and religious sites and monuments, forms a perfect backdrop to the Monastery.",2002,false,33.97543,28.55623,60100,(i)(iii)(iv)(vi),Cultural,C,Egypt,Arab States,eg,false
1363,1186,Wadi Al-Hitan (Whale Valley),Wadi Al-Hitan (La vallée des Baleines),ワディ・アル・ヒタン,"Wadi Al-Hitan, Whale Valley, in the Western Desert of Egypt, contains invaluable fossil remains of the earliest, and now extinct, suborder of whales, Archaeoceti. These fossils represent one of the major stories of evolution: the emergence of the whale as an ocean-going mammal from a previous life as a land-based animal. This is the most important site in the world for the demonstration of this stage of evolution. It portrays vividly the form and life of these whales during their transition. The number, concentration and quality of such fossils here is unique, as is their accessibility and setting in an attractive and protected landscape. The fossils of Al-Hitan show the youngest archaeocetes, in the last stages of losing their hind limbs. Other fossil material in the site makes it possible to reconstruct the surrounding environmental and ecological conditions of the time.",2005,false,30.18333,29.33333,20015,(viii),Natural,N,Egypt,Arab States,eg,false
799,675,Joya de Cerén Archaeological Site,Site archéologique de Joya de Cerén,ホヤ・デ・セレン,"Joya de Cer&eacute;n was a pre-Hispanic farming community that, like Pompeii and Herculaneum in Italy, was buried under an eruption of the Laguna Caldera volcano c. AD 600. Because of the exceptional condition of the remains, they provide an insight into the daily lives of the Central American populations who worked the land at that time.",1993,false,-89.36916667,13.8275,3200,(iii)(iv),Cultural,C,El Salvador,Latin America and the Caribbean,sv,false
2131,1550,Asmara: A Modernist African City,Asmara : une ville africaine moderniste,,"Located at over 2,000 m above sea level, the capital of Eritrea developed from the 1890s onwards as a military outpost for the Italian colonial power. After 1935, Asmara underwent a large scale programme of construction applying the Italian rationalist idiom of the time to governmental edifices, residential and commercial buildings, churches, mosques, synagogues, cinemas, hotels, etc. The property encompasses the area of the city that resulted from various phases of planning between 1893 and 1941, as well as the indigenous unplanned neighbourhoods of Arbate Asmera and Abbashawel. It is an exceptional example of early modernist urbanism at the beginning of the 20th century and its application in an African context.",2017,false,38.93583333,15.33527778,481,(ii)(iv),Cultural,C,Eritrea,Africa,er,false
1626,822,Historic Centre (Old Town) of Tallinn,Centre historique (vieille ville) de Tallinn,タリン歴史地区,"The origins of Tallinn date back to the 13th century, when a castle was built there by the crusading knights of the Teutonic Order. It developed as a major centre of the Hanseatic League, and its wealth is demonstrated by the opulence of the public buildings (the churches in particular) and the domestic architecture of the merchants' houses, which have survived to a remarkable degree despite the ravages of fire and war in the intervening centuries.",1997,false,24.73333333,59.43333,113,(ii)(iv),Cultural,C,Estonia,Europe and North America,ee,false
12,9,Simien National Park,Parc national du Simien,シミエン国立公園,"Massive erosion over the years on the Ethiopian plateau has created one of the most spectacular landscapes in the world, with jagged mountain peaks, deep valleys and sharp precipices dropping some 1,500 m. The park is home to some extremely rare animals such as the Gelada baboon, the Simien fox and the Walia ibex, a goat found nowhere else in the world.",1978,false,38.06666667,13.18333333,13600,(vii)(x),Natural,N,Ethiopia,Africa,et,false
13,10,Lower Valley of the Awash,Basse vallée de l'Aouache,アワッシュ川下流域,"The Awash valley contains one of the most important groupings of palaeontological sites on the African continent. The remains found at the site, the oldest of which date back at least 4 million years, provide evidence of human evolution which has modified our conception of the history of humankind. The most spectacular discovery came in 1974, when 52 fragments of a skeleton enabled the famous Lucy to be reconstructed.",1980,false,40.57939,11.10006,0,(ii)(iii)(iv),Cultural,C,Ethiopia,Africa,et,false
15,12,Tiya,Tiya,,"Tiya is among the most important of the roughly 160 archaeological sites discovered so far in the Soddo region, south of Addis Ababa. The site contains 36 monuments, including 32 carved stelae covered with symbols, most of which are difficult to decipher. They are the remains of an ancient Ethiopian culture whose age has not yet been precisely determined.",1980,false,38.6121,8.43491,0,(i)(iv),Cultural,C,Ethiopia,Africa,et,false
2543,13,Melka Kunture and Balchit: Archaeological and Palaeontological Sites in the Highland Area of Ethiopia,Melka Kontouré et Balchit : sites archéologiques et paléontologiques de la région des hauts plateaux d’Éthiopie,メルカ＝コントゥレ,"Located in the Upper Awash Valley in Ethiopia, the serial property is a cluster of prehistoric sites that preserve archaeological and palaeontological records – including footprints – that testify to the area’s occupation by the hominin groups from two million years ago. The sites, situated about 2,000 to 2,200 metres above sea level, yielded Homo erectus, Homo heidelbergensis and archaic Homo sapiens fossils, documented in well-dated strata in association with various tools made from volcanic rocks. The cultural sequence includes four consecutive phases of the Oldowan, Acheulean, Middle Stone Age and Late Stone Age techno-complexes. Fragments of palaeo-landscapes, preserved buried under volcanic and sedimentary deposits with fossil fauna and flora, allow reconstruction of the high-mountain ecosystem of the Ethiopian Highlands during the Pleistocene. Conclusions can thus be drawn on the adaptation of hominin groups to the challenges and climatic conditions of high altitudes.",2024,false,38.59908333,8.703472222,,(iii)(iv)(v),Cultural,C,Ethiopia,Africa,et,false
18,15,Aksum,Axoum,アクスム,"The ruins of the ancient city of Aksum are found close to Ethiopia's northern border. They mark the location of the heart of ancient Ethiopia, when the Kingdom of Aksum was the most powerful state between the Eastern Roman Empire and Persia. The massive ruins, dating from between the 1st and the 13th century A.D., include monolithic obelisks, giant stelae, royal tombs and the ruins of ancient castles. Long after its political decline in the 10th century, Ethiopian emperors continued to be crowned in Aksum.",1980,false,38.71861,14.13019,0,(i)(iv),Cultural,C,Ethiopia,Africa,et,false
20,17,Lower Valley of the Omo,Basse vallée de l'Omo,オモ川下流域,"A prehistoric site near Lake Turkana, the lower valley of the Omo is renowned the world over. The discovery of many fossils there, especially Homo gracilis, has been of fundamental importance in the study of human evolution.",1980,false,35.96666667,4.8,0,(iii)(iv),Cultural,C,Ethiopia,Africa,et,false
21,18,"Rock-Hewn Churches, Lalibela",Églises creusées dans le roc de Lalibela,ラリベラの岩窟教会群,"The 11 medieval monolithic cave churches of this 13th-century 'New Jerusalem' are situated in a mountainous region in the heart of Ethiopia near a traditional village with circular-shaped dwellings. Lalibela is a high place of Ethiopian Christianity, still today a place of pilmigrage and devotion.",1978,false,39.04042,12.02935,0,(i)(ii)(iii),Cultural,C,Ethiopia,Africa,et,false
22,19,"Fasil Ghebbi, Gondar Region",Fasil Ghebi,ファジル・ゲビ,"In the 16th and 17th centuries, the fortress-city of Fasil Ghebbi was the residence of the Ethiopian emperor Fasilides and his successors. Surrounded by a 900-m-long wall, the city contains palaces, churches, monasteries and unique public and private buildings marked by Hindu and Arab influences, subsequently transformed by the Baroque style brought to Gondar by the Jesuit missionaries.",1979,false,37.4697,12.607909,0,(ii)(iii),Cultural,C,Ethiopia,Africa,et,false
2449,111,Bale Mountains National Park,Parc national des monts Balé,ベイル・マウンテン国立公園,"This property protects a landscape mosaic of extraordinary beauty that is shaped by the combined forces of ancient lava outpourings, glaciation and the dissection by the Great Rift Valley. It features volcanic peaks and ridges, dramatic escarpments, sweeping valleys, glacial lakes, lush forests, deep gorges and numerous waterfalls, creating exceptional natural beauty. The property harbours diverse and unique biodiversity at ecosystem, species and genetic levels, and five major rivers originate within the Park, estimated to supply water and support the livelihoods of millions of people in and beyond Ethiopia.",2023,false,39.74888889,6.797777778,215000,(vii)(x),Natural,N,Ethiopia,Africa,et,false
1452,1189,"Harar Jugol, the Fortified Historic Town","Harar Jugol, la ville historique fortifiée",,"The fortified historic town of Harar is located in the eastern part of the country on a plateau with deep gorges surrounded by deserts and savannah. The walls surrounding this sacred Muslim city were built between the 13th and 16th centuries. Harar Jugol, said to be the fourth holiest city of Islam, numbers 82 mosques, three of which date from the 10th century, and 102 shrines, but the townhouses with their exceptional interior design constitute the most spectacular part of Harar's cultural heritage. The impact of African and Islamic traditions on the development of the town's building types and urban layout make for its particular character and uniqueness.",2006,false,42.13777778,9.308888889,48,(ii)(iii)(iv)(v),Cultural,C,Ethiopia,Africa,et,false
1846,1333,Konso Cultural Landscape,Paysage culturel du pays konso,,"Konso Cultural Landscape is an arid property of stone walled terraces and fortified settlements in the Konso highlands of Ethiopia. It constitutes a spectacular example of a living cultural tradition stretching back 21 generations (more than 400 years) adapted to its dry hostile environment. The landscape demonstrates the shared values, social cohesion and engineering knowledge of its communities. The site also features anthropomorphic wooden statues - grouped to represent respected members of their communities and particularly heroic events - which are an exceptional living testimony to funerary traditions that are on the verge of disappearing. Stone steles in the towns express a complex system of marking the passing of generations of leaders.",2011,false,37.4,5.3,23000,(iii)(v),Cultural,C,Ethiopia,Africa,et,false
2419,1641,The Gedeo Cultural Landscape,Le paysage culturel du pays gedeo,,"The property lies along the eastern edge of the Main Ethiopian Rift, on the steep escarpments of the Ethiopian highlands. An area of agroforestry, it utilizes multilayer cultivation with large trees sheltering indigenous enset, the main food crop, under which grow coffee and other shrubs. The area is densely populated by the Gedeo people whose traditional knowledge support local forest management. Within the cultivated mountain slopes are sacred forests traditionally used by local communities for rituals associated with the Gedeo religion, and along the mountain ridges are dense clusters of megalithic monuments, which came to be revered by the Gedeo and cared for by their elders.",2023,false,38.28777778,6.248888889,29620,(iii)(v),Cultural,C,Ethiopia,Africa,et,false
1886,1399,Levuka Historical Port Town,Ville portuaire historique de Levuka,レブカの歴史的港町,"The town and its low line of buildings set among coconut and mango trees along the beach front was the first colonial capital of Fiji, ceded to the British in 1874. It developed from the early 19th century as a centre of commercial activity by Americans and Europeans who built warehouses, stores, port facilities, residences, and religious, educational and social institutions around the villages of the South Pacific island’s indigenous population. It is a rare example of a late colonial port town that was influenced in its development by the indigenous community which continued to outnumber the European settlers. Thus the town, an outstanding example of late 19th century Pacific port settlements, reflects the integration of local building traditions by a supreme naval power, leading to the emergence of a unique landscape.",2013,false,178.8345333,-17.68337778,69.6,(ii)(iv),Cultural,C,Fiji,Asia and the Pacific,fj,false
686,579,Bronze Age Burial Site of Sammallahdenmäki,Site funéraire de l'âge du bronze de Sammallahdenmäki,サンマルラハデンマキ,"This Bronze Age burial site features more than 30 granite burial cairns, providing a unique insight into the funerary practices and social and religious structures of northern Europe more than three millennia ago.",1999,false,21.7775,61.12056,0,(iii)(iv),Cultural,C,Finland,Europe and North America,fi,false
1718,582,Old Rauma,Ancienne Rauma,ラウマ旧市街,"Situated on the Gulf of Botnia, Rauma is one of the oldest harbours in Finland. Built around a Franciscan monastery, where the mid-15th-century Holy Cross Church still stands, it is an outstanding example of an old Nordic city constructed in wood. Although ravaged by fire in the late 17th century, it has preserved its ancient vernacular architectural heritage.",1991,false,21.51167,61.12806,29,(iv)(v),Cultural,C,Finland,Europe and North America,fi,false
690,583,Fortress of Suomenlinna,Forteresse de Suomenlinna,スオメンリンナの要塞,"Built in the second half of the 18th century by Sweden on a group of islands located at the entrance of Helsinki's harbour, this fortress is an especially interesting example of European military architecture of the time.",1991,false,24.98722,60.14722,210,(iv),Cultural,C,Finland,Europe and North America,fi,false
691,584,Petäjävesi Old Church,Vieille église de Petäjävesi,ペタヤヴェシの古い教会,"Petäjävesi Old Church, in central Finland, was built of logs between 1763 and 1765. This Lutheran country church is a typical example of an architectural tradition that is unique to eastern Scandinavia. It combines the Renaissance conception of a centrally planned church with older forms deriving from Gothic groin vaults.",1994,false,25.18333,62.25,2.98,(iv),Cultural,C,Finland,Europe and North America,fi,false
885,751,Verla Groundwood and Board Mill,Usine de traitement du bois et de carton de Verla,ヴェルラ砕木・板紙工場,"The Verla groundwood and board mill and its associated residential area is an outstanding, remarkably well-preserved example of the small-scale rural industrial settlements associated with pulp, paper and board production that flourished in northern Europe and North America in the 19th and early 20th centuries. Only a handful of such settlements survive to the present day.",1996,false,26.64083,61.06194,22.778,(iv),Cultural,C,Finland,Europe and North America,fi,false
2317,80,Mont-Saint-Michel and its Bay,Mont-Saint-Michel et sa baie,モン＝サン＝ミシェルとその湾,"Perched on a rocky islet in the midst of vast sandbanks exposed to powerful tides between Normandy and Brittany stand the 'Wonder of the West', a Gothic-style Benedictine abbey dedicated to the archangel St Michael, and the village that grew up in the shadow of its great walls. Built between the 11th and 16th centuries, the abbey is a technical and artistic tour de force, having had to adapt to the problems posed by this unique natural site.",1979,false,-1.51056,48.63556,6560,(i)(iii)(vi),Cultural,C,France,Europe and North America,fr,false
1719,81,Chartres Cathedral,Cathédrale de Chartres,シャルトル大聖堂,"Partly built starting in 1145, and then reconstructed over a 26-year period after the fire of 1194, Chartres Cathedral marks the high point of French Gothic art. The vast nave, in pure ogival style, the porches adorned with fine sculptures from the middle of the 12th century, and the magnificent 12th- and 13th-century stained-glass windows, all in remarkable condition, combine to make it a masterpiece.",1979,false,1.487222222,48.4475,1.06,(i)(ii)(iv),Cultural,C,France,Europe and North America,fr,false
1571,83,Palace and Park of Versailles,Palais et parc de Versailles,ヴェルサイユ宮殿,"The Palace of Versailles was the principal residence of the French kings from the time of Louis XIV to Louis XVI. Embellished by several generations of architects, sculptors, decorators and landscape architects, it provided Europe with a model of the ideal royal residence for over a century.",1979,false,2.119444444,48.805,1070,(i)(ii)(vi),Cultural,C,France,Europe and North America,fr,false
